cowords	actual sense	predicted sense	correct
investor breathe more freely learn acrobatic dancer turn magician only do best_seller book some dough	2:40:01::	2:31:00::	0
toy have act_as substitute family temptation such_as refrigerator gas_stove	2:32:00::	2:38:02::	0
say three minute sporting	2:30:00::	2:36:01::	0
lie_down	2:31:00::	2:41:00::	0
think person have right witness brother humiliation	2:32:00::	2:36:15::	0
be possible a_few generalization six giant	2:31:00::	2:36:01::	0
seem likely indian_python come_out ahead record growth more carefully frequently respond exceptionally well captivity not reach proportion make hard keep	2:36:00::	2:38:02::	0
seem likely indian_python come_out ahead record growth make more carefully frequently respond exceptionally well captivity not reach proportion hard keep	2:30:00::	2:38:02::	0
sense figure post maturity growth at_best annual increase appear be matter inch foot	2:31:00::	2:36:00::	0
most convincing recent measurement anaconda eastern location person petroleum_geologist group report person	2:41:00::	2:36:01::	0
data be growth indicate considerable variation rate unfortunately keep complete record one individual many very short period_of_time	2:41:00::	2:36:15::	0
large land_area require oxidation pond type treatment financially unattractive developer	2:30:00::	2:36:01::	0
weekly sample change more readily discernible daily sample	2:30:00::	2:36:01::	0
composite sample normally collect 6 hr period occasional 24 hr composite	2:36:00::	2:36:08::	0
take grab_sample random period so mass data treat 6 hr composite sample	2:41:00::	2:36:01::	0
routine microscopic examination mixed liquor indicate person person various type protozoa	2:41:00::	2:36:01::	0
routine determination dissolved oxygen mixed liquor oxygen uptake rate	2:41:00::	2:41:00::	1
location oxidation pond high value residential area odor nuisance sensitive problem developer	2:30:00::	2:36:01::	0
in_fact intimate clearly be reason person send here larger contribution dollar money	2:36:00::	2:36:15::	0
proposal group meet unanimous opposition	2:41:00::	2:36:01::	0
be poem strange language barely touch meaning enough being ache desire fullness sense there	2:32:00::	2:36:01::	0
not person not most role	2:30:00::	2:36:01::	0
word say person broadway youngster adopted son life miserable nearly person particular	2:30:00::	2:36:01::	0
mad world not	2:36:00::	2:41:00::	0
be greatly person credit no attempt outdo person	2:41:00::	2:36:01::	0
sparrow size person sparkling blue eye cheerful smile suitably perky person person real aunt be positively monumental very best gibson_girl manner	2:42:00::	2:36:01::	0
person person first wife manage short role impressive	2:30:00::	2:36:01::	0
such fascinating novelty score fugal treatment handle splendidly think person band tuneful ward-heeler even better do new_york cast all words clever lyric come_through perfect clarity	2:41:00::	2:36:15::	0
a_couple_of male good comedy too person person	2:36:00::	2:36:05::	0
person say already first collage end glue piece imitation caning oilcloth painting canvas	2:36:09::	2:36:01::	0
collage term dilemma clear representational restore preserve only flat literal surface now illusion representation become for_the_first_time mutually_exclusive alternative	2:30:00::	2:36:08::	0
leave previous atomlike smallness cut_away too abruptly depth broad opaque shape pasted paper isolate such way jump_out plane	2:32:00::	2:31:00::	0
experiment electric arc apply porous graphite anode cool transpiring gas argon	2:41:00::	2:36:08::	0
qualitative observation high-speed motion_picture take study flow phenomenon arc various mass flow velocity	2:41:00::	2:32:00::	0
heat loss holder reduce be such_that accurate heat balance	2:36:00::	2:36:00::	1
reduce number variable parameter experiment constant arc length current 100 amp	2:41:00::	2:36:08::	0
be sufficiently small compare surface temperature anode holder energy flux radiate environment anode holder negligible accuracy present measurement	2:30:00::	2:36:08::	0
a_few experiment tube standard 6 mm pyrex tubing 1 mm wall thickness	2:36:01::	2:32:00::	0
fraction exchange determine ratio count minute observe carbon_tetrachloride count minute calculate carbon_tetrachloride fraction equilibrium distribution activity chlorine carbon_tetrachloride empirically determine correction difference counting efficiency	2:41:00::	2:36:01::	0
be possible estimate quantum yield observe extent reduction uranyl_oxalate actinometer solution illuminate known time typical reaction cell make appropriate conversion base difference absorption_spectrum uranyl_oxalate chlorine consider spectral distribution light source	2:31:00::	2:32:00::	0
be possible make estimate quantum yield observe extent reduction uranyl_oxalate actinometer solution illuminate known time typical reaction cell appropriate conversion base difference absorption_spectrum uranyl_oxalate chlorine consider spectral distribution light source	2:31:00::	2:32:00::	0
such program constructive selection best site available	2:41:00::	2:36:01::	0
new_edition topographical map federal_government be excellent orient natural feature site	2:36:01::	2:36:00::	0
be usually helpful sketch_map field show size location feature interest take photograph site	2:36:00::	2:36:01::	0
however be also much gain use ability local people be available interest recreation	2:41:00::	2:42:00::	0
be too easy inexperienced_person quick judgment a_few value area base decision alone	2:31:00::	2:32:00::	0
look physical feature land determine desirable be use do correct fault cost area meet need other site	2:32:00::	2:42:00::	0
lack rainfall extreme temperature call_for development shade irrigation site useable	2:30:00::	2:36:01::	0
person conclude most active preparation tsh period be probably 100 potent starting material	2:36:11::	2:36:15::	0
international unit adopt possible comparison result different laboratory person person define amount activity present mg	2:36:00::	2:36:01::	0
person watch own hand caress anxious movement rain fall come ruin draw_close cat rub ankle be ritual stall vendor forever	2:41:00::	2:36:01::	0
wonder expression gesture be face	2:41:00::	2:36:01::	0
think only heart world hang_together	2:32:00::	2:32:00::	1
furthermore person ideal master_of_ceremonies	2:42:00::	2:36:01::	0
reference possibility record other_than popular_music manner not seem lend well serious_music	2:41:00::	2:32:00::	0
just long enough feel important	2:30:00::	2:36:08::	0
now say person eventually sit formation big root live_oak sort root divide make bottom sag_down feel comfortable	2:32:00::	2:36:01::	0
now say person eventually make sit formation big root live_oak sort root divide bottom sag_down feel comfortable	2:32:00::	2:36:01::	0
now be person horse think_of	2:32:00::	2:36:01::	0
person horse belly so funny be upside_down	2:32:00::	2:36:01::	0
try keep smile wink long_time lip eyelid tremble	2:32:00::	2:31:00::	0
never work naturally look unusual	2:30:00::	2:31:00::	0
then mother blush small lie know know be cowardice one more radish night just too impossible strain	2:30:00::	2:36:15::	0
